Author,Rating,Helpful_upVotes,Helpful_downVotes,Summary,Review,Compound,Sentiment_label,Negative,Neutral,Positive
arianatruby,6.0,4,9,average romcom,ill admit first episode pretty cringy felt little forced think actor werent completely comfortable character yet kept watching end impatient waiting new episodesthey definitely grew character chemistry developed cuteness overload classic cheesiness easygoing romcom plot thats easy follow need something feelgood watch long day good one watchi say stick give fair chance dont let first episode deter,0.8509,positive,0.165,0.541,0.294
aubry_ann_tubuhan,10.0,7,0,rating misleading,stopped episode thats around time main lead became couple picked month kept popping recommendation lee jun ho look dashing every shot im glad drama romance genre also tell story hotel industry work behind scene show customer service improved going extra mile demonstrated female lead choi sa rang best talent especially presented latter part story overall good show much typical romance story,0.9694,positive,0.024,0.679,0.297
thapadeepu-46818,10.0,57,20,best rom com,best rom com drama ever dont listen review rating light hearted feel good drama need dont want get heavy plot drama get deep plot understand story recommend great cast good chemistry lead character side character many episode make giggle blush ear ear worth watch say best rom com drama give go wont regret classic drama make heart melt make want rewatch scene make feel giddy,0.9771,positive,0.048,0.624,0.328
kishankarthik-78282,6.0,25,113,watchablemay,basically old school type drama ceo employeelike whats wrong secretary kimyes plot bit different disappointed hero characterizationevery drama need strong unique characterization drama lacking much departmentoverall watchable dramaatleast nowmy opinion may change latermay hero character build massively become competitive waiting certain twist story basically predictive nowsome twist turn help drama gain star atleast,0.9217,positive,0.088,0.623,0.289
storguson,9.0,19,4,sweet kdrama,thoroughly enjoyed kdrama acting lee jin ho im yoon ah think casted well together good chemistry always thought lee jin ho great actor lot heart hope show future character thought supporting cast particularly sa rangs grandmother delightfuli surprised dismayed negative review dont feel show deserved nice watch something cute loving funny time much made dark negative sad hope show like made shown netflixthank,0.9719,positive,0.137,0.47,0.393
gcmgome,6.0,2,4,series miss mark many level,seems series intended incorporate familiar popular theme current day korean production missed mark themthe main character likeable stick first episode eventually drawn tough come away watching without disappointmentthe villain arent villainous enough roadblock challenging love two person differing societal status merely small hurdlesstill stick get past sometimes confusing interweaving storyline series many redeeming aspect,0.9082,positive,0.083,0.666,0.252
isabellatallica,9.0,13,2,classic story still entertaining,everything romance suspense classical modern fairytale lot u enjoyed perhaps bit cheesy end thats fairytale dont need kind escape realityyeah lose end plot care still wonderful watch love grandmother story general also moral try convey good one film set beautiful main actor good chemistry lot kiss scene much appreciated everyone watched gave feedback really dont understand bad rating,0.9847,positive,0.08,0.495,0.425
kartavyakaushik,10.0,6,0,simplerefreshing cute,first liked series heart know write review less cant stop seeing low rating heartwarming content read many review saw people writing boring plot drama thriller limit reached saw review writing love breakup series heshe literally said boring love story complicated full misunderstanding fight cannot accept personally seen many series full drama personally request people like type drama plase dont watch give bad review one best masterpiece simple heartwarming story good character veryyyyy lovingin end would say masterpiece made tired twisted thriller plot want feel good loving stuffthank reading review,0.9888,positive,0.114,0.482,0.405
dseemalhar,6.0,2,4,typical predictable kdrama kdrama trope,yesterday finished another kdrama king landits another swoonworthy cute sweet romcomstory old rich guypoor girl hate relationship turned loveits predictable zero tention plot zero novelty story mixture many popular kdramasall problem get solved easily fl perfect everything ml work woo fl somehow accept himanyways seems made drama lee junho yoonahs fan made fan happy drama get controversy wrong arab cultural representation apart time pas stress buster easygoing drama,0.9705,positive,0.123,0.509,0.368
waterblackpearl,10.0,67,28,relaxing healing series beautiful lead acting,period time tired new kdrama many heavy theme topic series seriously great light hearted romantic reminds many beautiful love moment life boyfriend husbandi feel relieved happy watching really saved stressful work hour learning master timenow wait wait every day watch behind scene new episode releasedi love simple story plot twist true heart visuals great word describe like acting best kiss scene ever many year watching drama junho started series love every moment actingtotally recommended,0.9921,positive,0.071,0.487,0.442
khanhlinh-38297,10.0,22,6,healing movie,title healing watch movie combination comedy romance junho yoona capture perfect acting skill chemistryi drawn movie first junho perfect acting red sleeve movie effort paid year laugh lot moviebesides acting scenery movie cause hospitality magnificent movie feature mainly korea thailand one trip abroad korea amazing see country captured nicely movieagain one recommendation healing time,0.9812,positive,0.0,0.624,0.376
lisaw3,10.0,9,1,low rating imdb ridiculous amazing love story,like beloved k drama one magic formula work grumpy sad boy meet sweet kind hearted girl change life side character make fall love along way good friend matter unexpected friend becomes loyal forever always loving grandma sweeten loved good love story crash landing funny mr queen still gave made feel good end hooked end first episode one funniest end first episode,0.9933,positive,0.057,0.406,0.537
ccw-71074,10.0,61,27,interesting romance comedy,korean typical romance drama excellent visual juhon yoona perfect ktdand wonderful actor actress especially snsd yoon really nice acting hotel receptionist even plot bit weak chemistry gu sarang really attractivethe storyline straight forward need guwon sarang fall love asap every moment sweet enjoy spending hr week netflix watch drama without thinking relax laugh however scriptwriter careful using culture plot please dun distract focus programme,0.9745,positive,0.111,0.523,0.366
